SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3
100001,0,Cash loans,F,N,N,0,184000.0,151500.0,6090.0,143400.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-19753,-7711,-1794,-2527,0.8355,0.0371,0.0184
100002,1,Cash loans,M,N,Y,0,38000.0,175000.0,7000.0,159300.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-15120,-8164,-761,-3866,0.1077,0.609,0.777
100003,0,Revolving loans,M,Y,Y,0,67000.0,993500.0,58510.0,914800.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-24215,-3277,-4080,-4101,0.2464,0.2629,0.1149
100004,0,Cash loans,F,N,N,0,248000.0,753500.0,31020.0,721500.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,-17584,-5451,-281,-2345,0.3118,0.4461,0.9458
100005,0,Cash loans,F,N,Y,0,138000.0,1195000.0,94380.0,1172800.0,Unaccompanied,Commercial associate,Lower secondary,Married,House / apartment,-20044,-5200,-4071,-940,0.2947,0.3732,0.7366
100006,0,Cash loans,F,Y,Y,1,420000.0,1378000.0,67360.0,1227600.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,-15316,-3896,-4625,-258,0.1715,0.1744,0.5552
100007,0,Cash loans,F,N,N,0,109000.0,610000.0,35930.0,549800.0,"Spouse, partner",Commercial associate,Secondary / secondary special,Married,House / apartment,-23910,-2984,-5978,-1063,0.8261,0.4879,0.1553
100008,0,Cash loans,F,N,Y,0,331000.0,913000.0,38750.0,903500.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,-13442,-1372,-9007,-275,0.4035,0.442,0.4945
100009,0,Cash loans,M,N,N,1,114000.0,773500.0,47090.0,724600.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-14782,-6507,-4559,-2791,0.9153,0.5967,0.2554
100010,0,Cash loans,F,N,Y,1,606000.0,1473000.0,81310.0,1291600.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-14613,-1852,-1470,-2566,0.5585,0.2468,0.2472
100011,0,Cash loans,F,Y,N,1,507000.0,1254000.0,52400.0,1190700.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,-21330,-7770,-3287,-4922,0.1401,0.2118,0.7898
100012,1,Cash loans,F,Y,Y,1,85000.0,1371500.0,73240.0,1369600.0,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,-16812,-7530,-4259,-1930,0.5232,0.7755,0.3678
100013,0,Revolving loans,M,Y,Y,2,351000.0,415000.0,23100.0,404000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-8964,-1791,-5706,-6748,0.9439,0.6701,0.4337
100014,0,Cash loans,F,N,Y,0,307000.0,1169000.0,93050.0,1124400.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,-22050,-9549,-10777,-3582,0.5413,0.7359,0.8024
100015,0,Cash loans,F,N,Y,0,60000.0,431500.0,20850.0,380200.0,Unaccompanied,Working,Higher education,Single / not married,With parents,-10954,-8723,-510,-1331,0.0118,0.1259,0.0925
100016,0,Cash loans,F,Y,N,0,172000.0,348500.0,21530.0,342000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,-21033,-5273,-7961,-1556,0.8871,0.2206,0.5689
100017,0,Cash loans,M,N,Y,0,36000.0,1419000.0,112800.0,1318100.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-24780,-4005,-8746,-5044,0.2308,0.551,0.5535
100018,0,Cash loans,M,N,Y,0,297000.0,73000.0,5230.0,71800.0,"Spouse, partner",Working,Higher education,Separated,House / apartment,-10398,-6146,-11897,-479,0.6572,0.8158,0.4097
100019,0,Cash loans,F,N,Y,0,54000.0,1449500.0,115580.0,1303800.0,Unaccompanied,State servant,Secondary / secondary special,Married,With parents,-18314,-6180,-6784,-4509,0.4942,0.8486,0.79
100020,0,Cash loans,F,N,N,0,36000.0,262000.0,20630.0,225100.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-15078,-6256,-9498,-3046,0.3159,0.792,0.8963
100021,0,Revolving loans,F,N,Y,0,102000.0,1237500.0,73730.0,1140200.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-18419,-6914,-11334,-3594,0.2757,0.0508,0.4474
100022,0,Cash loans,F,Y,N,0,154000.0,446500.0,30300.0,397600.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,-20485,-6784,-5493,-1488,0.883,0.7816,0.4388
100023,0,Revolving loans,M,Y,N,2,315000.0,555500.0,24670.0,531800.0,Unaccompanied,Working,Higher education,Married,House / apartment,-21550,-2204,-258,-5528,0.8672,0.8551,0.4819
100024,0,Cash loans,M,N,Y,0,574000.0,360500.0,20780.0,358200.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-10914,-5199,-6588,-2824,0.4923,0.0633,0.6897
